billing_account_id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,location.location,resource.name,resource.global_name,usage.amount,usage.unit,cost,currency,credits.amount,credits.name,labels
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-08T00:00:00Z,2026-07-08T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-09T00:00:00Z,2026-07-09T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-10T00:00:00Z,2026-07-10T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-11T00:00:00Z,2026-07-11T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-12T00:00:00Z,2026-07-12T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-13T00:00:00Z,2026-07-13T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-14T00:00:00Z,2026-07-14T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,0.03,million characters,0.6,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-15T00:00:00Z,2026-07-15T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,2.05,million characters,41.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-16T00:00:00Z,2026-07-16T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,2.05,million characters,41.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-17T00:00:00Z,2026-07-17T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,2.05,million characters,41.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-18T00:00:00Z,2026-07-18T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
01ABCD-2345EF-6789GH,Compute Engine,2E27-4F75-95CD,N2 Instance Core running in Americas,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,cloudcause-demo,us-central1,api-prod-1,//compute.googleapis.com/projects/cloudcause-demo/zones/us-central1-a/instances/api-prod-1,24.0,hour,15.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Storage,E5F4-6A45-A2F1,Standard Storage US Multi-region,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,cloudcause-demo,us-central1,cc-demo-assets,//storage.googleapis.com/projects/_/buckets/cc-demo-assets,200.0,gibibyte month,5.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""platform""}]"
01ABCD-2345EF-6789GH,Cloud Translation API,9B4A-1C22-0D7E,Translation API - Characters Translated,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,cloudcause-demo,us-central1,translate.googleapis.com,//serviceusage.googleapis.com/projects/cloudcause-demo/services/translate.googleapis.com,2.05,million characters,41.0,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""content-team""}]"
01ABCD-2345EF-6789GH,Cloud SQL,1C4B-9E22-5A31,Cloud SQL for PostgreSQL: Zonal - vCPU,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,cloudcause-demo,us-central1,orders-db,//cloudsql.googleapis.com/projects/cloudcause-demo/instances/orders-db,24.0,hour,7.4,USD,0,,"[{""key"": ""env"", ""value"": ""prod""}, {""key"": ""owner"", ""value"": ""orders-team""}]"
01ABCD-2345EF-6789GH,Networking,7D3A-2B11-4C90,Network Internet Egress from Americas to Americas,2026-07-19T00:00:00Z,2026-07-19T23:59:59Z,cloudcause-demo,us-central1,,,18.0,gibibyte,2.1,USD,0,,[]
